date,product_id,units_sold,unit_price,stock_on_hand,reorder_point,is_promotion,discount_pct,day_of_week,month,supplier_lead_days,cat_Electronics,cat_Apparel,cat_Home,cat_Beauty,cat_Sports,is_weekend,month_sin,month_cos,day_sin,day_cos,lag_7,lag_14,rolling_mean_7,rolling_std_7,rolling_mean_30,promo_impact
2022-01-04,P001,15.0,23742.12,104,45,0,0.0,1,1,13,1,0,0,0,0,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.0,0.0,0.0,2.8284271247461903,0.0,0.0
2022-01-17,P001,11.0,23676.7,93,45,0,0.0,0,1,13,1,0,0,0,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0.0,0.0,15.0,2.8284271247461903,15.0,0.0
2022-01-20,P001,17.0,24481.04,76,45,0,0.0,3,1,13,1,0,0,0,0,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.0,0.0,13.0,2.8284271247461903,13.0,0.0
2022-01-21,P001,8.0,23966.78,68,45,0,0.0,4,1,13,1,0,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.0,0.0,14.333333333333334,3.055050463303893,14.333333333333334,0.0
2022-01-25,P001,9.0,24737.96,59,45,0,0.0,1,1,13,1,0,0,0,0,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.0,0.0,12.75,4.031128874149275,12.75,0.0
2022-01-30,P001,25.0,24872.44,209,45,0,0.0,6,1,13,1,0,0,0,0,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.0,0.0,12.0,3.872983346207417,12.0,0.0
2022-02-06,P001,20.0,24711.64,189,45,0,0.0,6,2,13,1,0,0,0,0,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.0,0.0,14.166666666666666,6.337717780610515,14.166666666666666,0.0
2022-02-16,P001,20.0,23579.18,173,45,0,0.0,2,2,13,1,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,15.0,0.0,15.0,6.191391873668904,15.0,0.0
2022-02-18,P001,9.0,24401.76,164,45,0,0.0,4,2,13,1,0,0,0,0,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,11.0,0.0,15.714285714285714,6.473388749701496,15.625,0.0
2022-02-27,P001,15.0,24474.52,149,45,0,0.0,6,2,13,1,0,0,0,0,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,17.0,0.0,15.428571428571429,6.754187413675136,14.88888888888889,0.0
2022-03-04,P001,11.0,23661.89,138,45,0,0.0,4,3,13,1,0,0,0,0,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,8.0,0.0,15.142857142857142,6.718843437888484,14.9,0.0
2022-03-05,P001,23.0,24332.36,115,45,0,0.0,5,3,13,1,0,0,0,0,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,9.0,0.0,15.571428571428571,6.267831705280088,14.545454545454545,0.0
2022-03-08,P001,18.0,24824.87,97,45,0,0.0,1,3,13,1,0,0,0,0,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,25.0,0.0,17.571428571428573,6.051367417290709,15.25,0.0
2022-03-14,P001,15.0,24819.51,82,45,0,0.0,0,3,13,1,0,0,0,0,0,1.0,6.123233995736766e-17,0.0,1.0,20.0,0.0,16.571428571428573,5.126959555693246,15.461538461538462,0.0
2022-03-16,P001,20.0,24196.41,62,45,0,0.0,2,3,13,1,0,0,0,0,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,20.0,15.0,15.857142857142858,4.913538149119955,15.428571428571429,0.0
2022-03-17,P001,24.0,24617.22,176,45,1,25.5,3,3,13,1,0,0,0,0,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,9.0,11.0,15.857142857142858,4.913538149119955,15.733333333333333,25.5
2022-03-23,P001,25.0,23599.38,151,45,0,0.0,2,3,13,1,0,0,0,0,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,15.0,17.0,18.0,4.690415759823431,16.25,0.0
2022-03-26,P001,18.0,24478.3,133,45,0,0.0,5,3,13,1,0,0,0,0,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,11.0,8.0,19.428571428571427,5.126959555693247,16.764705882352942,0.0
2022-03-31,P001,18.0,24628.2,115,45,0,0.0,3,3,13,1,0,0,0,0,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,23.0,9.0,20.428571428571427,3.6903993847614425,16.833333333333332,0.0
2022-04-03,P001,28.0,24030.11,87,45,0,0.0,6,4,13,1,0,0,0,0,1,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,18.0,25.0,19.714285714285715,3.5923198500080584,16.894736842105264,0.0
