date,product_id,units_sold,unit_price,stock_on_hand,reorder_point,is_promotion,discount_pct,day_of_week,month,supplier_lead_days,Apparel,Beauty,Electronics,Home,Sports,day_sin,day_cos,month_sin,month_cos
2022-01-04,P001,15.0,23742.12,104.0,45,0,0.0,1,1,13,0,0,1,0,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2022-01-17,P001,11.0,23676.7,93.0,45,0,0.0,0,1,13,0,0,1,0,0,0.0,1.0,0.49999999999999994,0.8660254037844387
2022-01-20,P001,17.0,24481.04,76.0,45,0,0.0,3,1,13,0,0,1,0,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2022-01-21,P001,8.0,23966.78,68.0,45,0,0.0,4,1,13,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2022-01-25,P001,9.0,24737.96,59.0,45,0,0.0,1,1,13,0,0,1,0,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2022-01-30,P001,25.0,24872.44,209.0,45,0,0.0,6,1,13,0,0,1,0,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
2022-02-06,P001,20.0,24711.64,189.0,45,0,0.0,6,2,13,0,0,1,0,0,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001
2022-02-16,P001,20.0,23579.18,173.0,45,0,0.0,2,2,13,0,0,1,0,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001
2022-02-18,P001,9.0,24401.76,164.0,45,0,0.0,4,2,13,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001
2022-02-27,P001,15.0,24474.52,149.0,45,0,0.0,6,2,13,0,0,1,0,0,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001
2022-03-04,P001,11.0,23661.89,138.0,45,0,0.0,4,3,13,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
2022-03-05,P001,23.0,24332.36,115.0,45,0,0.0,5,3,13,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
2022-03-08,P001,18.0,24824.87,97.0,45,0,0.0,1,3,13,0,0,1,0,0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17
2022-03-14,P001,15.0,24819.51,82.0,45,0,0.0,0,3,13,0,0,1,0,0,0.0,1.0,1.0,6.123233995736766e-17
2022-03-16,P001,20.0,24196.41,62.0,45,0,0.0,2,3,13,0,0,1,0,0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17
2022-03-17,P001,24.0,24617.22,176.0,45,1,25.5,3,3,13,0,0,1,0,0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17
2022-03-23,P001,25.0,23599.38,151.0,45,0,0.0,2,3,13,0,0,1,0,0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17
2022-03-26,P001,18.0,24478.3,133.0,45,0,0.0,5,3,13,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
2022-03-31,P001,18.0,24628.2,115.0,45,0,0.0,3,3,13,0,0,1,0,0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17
2022-04-03,P001,28.0,24030.11,87.0,45,0,0.0,6,4,13,0,0,1,0,0,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998
2022-04-04,P001,28.0,24933.28,69.0,45,0,0.0,0,4,13,0,0,1,0,0,0.0,1.0,0.8660254037844387,-0.4999999999999998
2022-04-26,P001,17.0,24215.21,52.0,45,0,0.0,1,4,13,0,0,1,0,0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998
