date,product_id,product_category,units_sold,unit_price,stock_on_hand,reorder_point,is_promotion,discount_pct,day_of_week,month,supplier_lead_days
2025-01-01,P001,Beauty,196.0,3374.11,538.0,671,0,0.0,2,1,7
2025-01-02,P001,Beauty,180.0,3374.11,253.0,671,0,0.0,3,1,7
2025-01-03,P001,Beauty,170.0,3374.11,271.0,671,0,0.0,4,1,7
2025-01-04,P001,Beauty,206.0,3374.11,328.0,671,0,0.0,5,1,7
2025-01-05,P001,Beauty,271.0,3374.11,535.0,671,0,0.0,6,1,7
2025-01-06,P001,Beauty,161.0,3374.11,343.0,671,0,0.0,0,1,7
2025-01-07,P001,Beauty,154.0,3374.11,284.0,671,0,0.0,1,1,7
2025-01-08,P001,Beauty,160.0,3374.11,185.0,671,0,0.0,2,1,7
2025-01-09,P001,Beauty,181.0,3374.11,359.0,671,0,0.0,3,1,7
2025-01-10,P001,Beauty,142.0,3374.11,390.0,671,0,0.0,4,1,7
2025-01-11,P001,Beauty,256.0,3374.11,366.0,671,0,0.0,5,1,7
2025-01-12,P001,Beauty,377.0,2538.68,588.0,671,1,0.25,6,1,7
2025-01-13,P001,Beauty,139.0,3374.11,186.0,671,0,0.0,0,1,7
2025-01-14,P001,Beauty,148.0,3374.11,411.0,671,0,0.0,1,1,7
2025-01-15,P001,Beauty,176.0,3374.11,424.0,671,0,0.0,2,1,7
2025-01-16,P001,Beauty,275.0,2505.14,706.0,671,1,0.26,3,1,7
2025-01-17,P001,Beauty,156.0,3374.11,257.0,671,0,0.0,4,1,7
2025-01-18,P001,Beauty,238.0,3374.11,620.0,671,0,0.0,5,1,7
2025-01-19,P001,Beauty,249.0,3374.11,511.0,671,0,0.0,6,1,7
2025-01-20,P001,Beauty,152.0,3374.11,302.0,671,0,0.0,0,1,7
2025-01-21,P001,Beauty,166.0,3374.11,326.0,671,0,0.0,1,1,7
2025-01-22,P001,Beauty,159.0,3374.11,285.0,671,0,0.0,2,1,7
2025-01-23,P001,Beauty,149.0,3374.11,368.0,671,0,0.0,3,1,7
2025-01-24,P001,Beauty,155.0,3374.11,382.0,671,0,0.0,4,1,7
2025-01-25,P001,Beauty,243.0,3374.11,637.0,671,0,0.0,5,1,7
2025-01-26,P001,Beauty,260.0,3374.11,386.0,671,0,0.0,6,1,7
2025-01-27,P001,Beauty,,3374.11,,671,0,0.0,0,1,7
2025-01-28,P001,Beauty,170.0,3374.11,251.0,671,0,0.0,1,1,7
2025-01-29,P001,Beauty,173.0,3374.11,342.0,671,0,0.0,2,1,7
2025-01-30,P001,Beauty,161.0,3374.11,443.0,671,0,0.0,3,1,7
2025-01-31,P001,Beauty,164.0,3374.11,259.0,671,0,0.0,4,1,7
2025-02-01,P001,Beauty,386.0,2250.97,458.0,671,1,0.33,5,2,7
2025-02-02,P001,Beauty,238.0,3374.11,459.0,671,0,0.0,6,2,7
2025-02-03,P001,Beauty,170.0,3374.11,381.0,671,0,0.0,0,2,7
2025-02-04,P001,Beauty,180.0,3374.11,391.0,671,0,0.0,1,2,7
2025-02-05,P001,Beauty,147.0,3374.11,184.0,671,0,0.0,2,2,7
2025-02-06,P001,Beauty,145.0,3374.11,305.0,671,0,0.0,3,2,7
2025-02-07,P001,Beauty,153.0,3374.11,301.0,671,0,0.0,4,2,7
2025-02-08,P001,Beauty,221.0,3374.11,388.0,671,0,0.0,5,2,7
2025-02-09,P001,Beauty,250.0,3374.11,419.0,671,0,0.0,6,2,7
2025-02-10,P001,Beauty,180.0,3374.11,367.0,671,0,0.0,0,2,7
2025-02-11,P001,Beauty,141.0,3374.11,177.0,671,0,0.0,1,2,7
2025-02-12,P001,Beauty,169.0,3374.11,286.0,671,0,0.0,2,2,7
2025-02-13,P001,Beauty,179.0,3374.11,466.0,671,0,0.0,3,2,7
2025-02-14,P001,Beauty,151.0,3374.11,396.0,671,0,0.0,4,2,7
2025-02-15,P001,Beauty,245.0,3374.11,311.0,671,0,0.0,5,2,7
2025-02-16,P001,Beauty,276.0,3374.11,408.0,671,0,0.0,6,2,7
2025-02-17,P001,Beauty,173.0,3374.11,286.0,671,0,0.0,0,2,7
2025-02-18,P001,Beauty,182.0,3374.11,376.0,671,0,0.0,1,2,7
2025-02-19,P001,Beauty,172.0,3374.11,266.0,671,0,0.0,2,2,7
2025-02-20,P001,Beauty,162.0,3374.11,352.0,671,0,0.0,3,2,7
2025-02-21,P001,Beauty,170.0,3374.11,353.0,671,0,0.0,4,2,7
2025-02-22,P001,Beauty,252.0,3374.11,287.0,671,0,0.0,5,2,7
2025-02-23,P001,Beauty,224.0,3374.11,604.0,671,0,0.0,6,2,7
2025-02-24,P001,Beauty,160.0,3374.11,428.0,671,0,0.0,0,2,7
2025-02-25,P001,Beauty,177.0,3374.11,484.0,671,0,0.0,1,2,7
2025-02-26,P001,Beauty,148.0,3374.11,242.0,671,0,0.0,2,2,7
2025-02-27,P001,Beauty,135.0,3374.11,363.0,671,0,0.0,3,2,7
2025-02-28,P001,Beauty,147.0,3374.11,409.0,671,0,0.0,4,2,7
2025-03-01,P001,Beauty,323.0,3374.11,837.0,671,0,0.0,5,3,7
2025-03-02,P001,Beauty,341.0,3374.11,545.0,671,0,0.0,6,3,7
2025-03-03,P001,Beauty,238.0,3374.11,612.0,671,0,0.0,0,3,7
2025-03-04,P001,Beauty,228.0,3374.11,502.0,671,0,0.0,1,3,7
2025-03-05,P001,Beauty,292.0,3374.11,762.0,671,0,0.0,2,3,7
2025-03-06,P001,Beauty,203.0,3374.11,235.0,671,0,0.0,3,3,7
2025-03-07,P001,Beauty,213.0,3374.11,338.0,671,0,0.0,4,3,7
2025-03-08,P001,Beauty,311.0,3374.11,618.0,671,0,0.0,5,3,7
2025-03-09,P001,Beauty,341.0,3374.11,736.0,671,0,0.0,6,3,7
2025-03-10,P001,Beauty,219.0,3374.11,478.0,671,0,0.0,0,3,7
2025-03-11,P001,Beauty,205.0,3374.11,405.0,671,0,0.0,1,3,7
2025-03-12,P001,Beauty,205.0,3374.11,252.0,671,0,0.0,2,3,7
2025-03-13,P001,Beauty,444.0,1893.57,1013.0,671,1,0.44,3,3,7
2025-03-14,P001,Beauty,211.0,3374.11,429.0,671,0,0.0,4,3,7
2025-03-15,P001,Beauty,313.0,3374.11,493.0,671,0,0.0,5,3,7
2025-03-16,P001,Beauty,327.0,3374.11,592.0,671,0,0.0,6,3,7
2025-03-17,P001,Beauty,249.0,3374.11,594.0,671,0,0.0,0,3,7
2025-03-18,P001,Beauty,315.0,2750.5,398.0,671,1,0.18,1,3,7
2025-03-19,P001,Beauty,232.0,3374.11,323.0,671,0,0.0,2,3,7
2025-03-20,P001,Beauty,249.0,3374.11,293.0,671,0,0.0,3,3,7
2025-03-21,P001,Beauty,190.0,3374.11,371.0,671,0,0.0,4,3,7
2025-03-22,P001,Beauty,300.0,15183.495,657.0,671,0,0.0,5,3,7
2025-03-23,P001,Beauty,556.0,2275.05,1155.0,671,1,0.33,6,3,7
2025-03-24,P001,Beauty,206.0,3374.11,556.0,671,0,0.0,0,3,7
2025-03-25,P001,Beauty,258.0,3374.11,680.0,671,0,0.0,1,3,7
2025-03-26,P001,Beauty,208.0,3374.11,527.0,671,0,0.0,2,3,7
2025-03-27,P001,Beauty,410.0,2043.56,533.0,671,1,0.39,3,3,7
2025-03-28,P001,Beauty,234.0,3374.11,577.0,671,0,0.0,4,3,7
2025-03-29,P001,Beauty,324.0,3374.11,769.0,671,0,0.0,5,3,7
2025-03-30,P001,Beauty,318.0,3374.11,769.0,671,0,0.0,6,3,7
2025-03-31,P001,Beauty,219.0,3374.11,560.0,671,0,0.0,0,3,7
2025-04-01,P001,Beauty,233.0,3374.11,613.0,671,0,0.0,1,4,7
2025-04-02,P001,Beauty,233.0,3374.11,383.0,671,0,0.0,2,4,7
2025-04-03,P001,Beauty,223.0,3374.11,462.0,671,0,0.0,3,4,7
2025-04-04,P001,Beauty,214.0,3374.11,342.0,671,0,0.0,4,4,7
2025-04-05,P001,Beauty,340.0,3374.11,830.0,671,0,0.0,5,4,7
2025-04-06,P001,Beauty,333.0,3374.11,398.0,671,0,0.0,6,4,7
2025-04-07,P001,Beauty,235.0,3374.11,305.0,671,0,0.0,0,4,7
2025-04-08,P001,Beauty,214.0,3374.11,460.0,671,0,0.0,1,4,7
2025-04-09,P001,Beauty,221.0,3374.11,551.0,671,0,0.0,2,4,7
2025-04-10,P001,Beauty,207.0,3374.11,257.0,671,0,0.0,3,4,7
2025-04-11,P001,Beauty,189.0,3374.11,512.0,671,0,0.0,4,4,7
2025-04-12,P001,Beauty,291.0,3374.11,506.0,671,0,0.0,5,4,7
2025-04-13,P001,Beauty,324.0,3374.11,855.0,671,0,0.0,6,4,7
2025-04-14,P001,Beauty,245.0,3374.11,274.0,671,0,0.0,0,4,7
2025-04-15,P001,Beauty,223.0,3374.11,466.0,671,0,0.0,1,4,7
2025-04-16,P001,Beauty,201.0,3374.11,318.0,671,0,0.0,2,4,7
2025-04-17,P001,Beauty,221.0,3374.11,451.0,671,0,0.0,3,4,7
2025-04-18,P001,Beauty,217.0,3374.11,470.0,671,0,0.0,4,4,7
2025-04-19,P001,Beauty,359.0,3374.11,944.0,671,0,0.0,5,4,7
2025-04-20,P001,Beauty,466.0,2583.59,1217.0,671,1,0.23,6,4,7
2025-04-21,P001,Beauty,188.0,3374.11,354.0,671,0,0.0,0,4,7
2025-04-22,P001,Beauty,231.0,3374.11,284.0,671,0,0.0,1,4,7
